ShapeName,Slug,Synonyms,Category,Description,CityOrRegionMostAssociated,EarliestAttestedMention,SourceLink,PrimaryGeometry,KeyDiscriminators,Type,IsHollow,IsRidged,IsTwisted,IsCurved,SizeClass,IsStuffed,ThumbnailImage,PhotoImage,SearchAliases
Mezzi Bombardoni,mezzi-bombardoni,,Tube,,,,,tube,,tube,yes,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/mezzi-bombardoni.png,<ImageKitPath>/pasta/full/mezzi-bombardoni.jpg,mezi bombardoni; bombardoni mezzi
Pasta Al Ceppo,pasta-al-ceppo,,Short,,,,,short,,short,yes,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/pasta-al-ceppo.png,<ImageKitPath>/pasta/full/pasta-al-ceppo.jpg,pasta cepo; ceppo pasta; pasta ceppo
Caserecce,caserecce,,Tube,,,,,tube,,tube,yes,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/caserecce.png,<ImageKitPath>/pasta/full/caserecce.jpg,caserece
Paccheri,paccheri,,Tube,,,,,tube,,tube,yes,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/paccheri.png,<ImageKitPath>/pasta/full/paccheri.jpg,pacheri
Tortiglioni,tortiglioni,,Tube,,,,,tube,,tube,yes,yes,yes,no,large,no,<ImageKitPath>/pasta/thumb/tortiglioni.png,<ImageKitPath>/pasta/full/tortiglioni.jpg,
Gnocchi,gnocchi,,Dumpling / Pasta-Like,,,,,dumpling,,dumpling,no,yes,no,no,medium,no,<ImageKitPath>/pasta/thumb/gnocchi.png,<ImageKitPath>/pasta/full/gnocchi.jpg,gnochi
Penne Rigate,penne-rigate,,Tube,,,,,tube,,tube,yes,yes,no,no,medium,no,<ImageKitPath>/pasta/thumb/penne-rigate.png,<ImageKitPath>/pasta/full/penne-rigate.jpg,pene rigate; rigate penne
Gnocchetti Sardi,gnocchetti-sardi,,Dumpling / Pasta-Like,,,,,dumpling,,dumpling,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/gnocchetti-sardi.png,<ImageKitPath>/pasta/full/gnocchetti-sardi.jpg,gnocheti sardi; sardi gnocchetti
Capricci,capricci,,Short,,,,,short,,short,no,yes,no,no,medium,no,<ImageKitPath>/pasta/thumb/capricci.png,<ImageKitPath>/pasta/full/capricci.jpg,caprici
Ditalini,ditalini,ditali; thimbles,Tube,,,,,tube,,tube,yes,no,no,no,small,no,<ImageKitPath>/pasta/thumb/ditalini.png,<ImageKitPath>/pasta/full/ditalini.jpg,ditali; thimbles
Farfalle,farfalle,bow tie pasta; bow-ties; bowties; farfalline (small); bow ties,Short,,,,,short,,short,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/farfalle.png,<ImageKitPath>/pasta/full/farfalle.jpg,bowties; farfale; bow ties; farfaline; farfalline; bow tie pasta
Maccheroni,maccheroni,Macaroni,Tube,,,,,tube,,tube,yes,yes,no,no,large,no,<ImageKitPath>/pasta/thumb/maccheroni.png,<ImageKitPath>/pasta/full/maccheroni.jpg,macaroni; macheroni
Fusilli,fusilli,fusilli napoletani; fusilli calabresi,Short,,,,,short,,short,no,no,yes,no,medium,no,<ImageKitPath>/pasta/thumb/fusilli.png,<ImageKitPath>/pasta/full/fusilli.jpg,fusili; fusili calabresi; calabresi fusilli; fusili napoletani; fusilli calabresi; fusilli napoletani; napoletani fusilli
Chiocciole,chiocciole,,Short,,,,,short,,short,no,yes,no,yes,medium,no,<ImageKitPath>/pasta/thumb/chiocciole.png,<ImageKitPath>/pasta/full/chiocciole.jpg,chiociole
Anelli,anelli,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/anelli.png,<ImageKitPath>/pasta/full/anelli.jpg,aneli
Acini de Pepe,acini-de-pepe,Acini di pepe; peppercorn pasta; peppercorns,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/acini-de-pepe.png,<ImageKitPath>/pasta/full/acini-de-pepe.jpg,acini pepe; pepe acini; pepercorns; peppercorns; acini di pepe; pepercorn pasta; pasta peppercorn; peppercorn pasta
Alfabeto,alfabeto,alphabet pasta,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/alfabeto.png,<ImageKitPath>/pasta/full/alfabeto.jpg,alphabet pasta; pasta alphabet
Anchellini,anchellini,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/anchellini.png,<ImageKitPath>/pasta/full/anchellini.jpg,anchelini
Anellini,anellini,,Soup / Pastina,,,,,soup,,soup,no,no,no,yes,small,no,<ImageKitPath>/pasta/thumb/anellini.png,<ImageKitPath>/pasta/full/anellini.jpg,anelini
Cocciolette,cocciolette,,Short,,,,,short,,short,yes,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/cocciolette.png,<ImageKitPath>/pasta/full/cocciolette.jpg,cociolete
Gianduieta,gianduieta,Animal;,Short,,,,,short,,short,yes,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/gianduieta.png,<ImageKitPath>/pasta/full/gianduieta.jpg,animal
Coralli,coralli,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/coralli.png,<ImageKitPath>/pasta/full/coralli.jpg,corali
Farfalline,farfalline,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/farfalline.png,<ImageKitPath>/pasta/full/farfalline.jpg,farfaline
Fregula,fregula,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/fregula.png,<ImageKitPath>/pasta/full/fregula.jpg,
Filini,filini,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/filini.png,<ImageKitPath>/pasta/full/filini.jpg,
Cuscus,cuscus,Cuscussu; Cous Cous,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/cuscus.png,<ImageKitPath>/pasta/full/cuscus.jpg,cuscusu; cuscussu; cous cous
Grano,grano,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/grano.png,<ImageKitPath>/pasta/full/grano.jpg,
Grattoni,grattoni,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/grattoni.png,<ImageKitPath>/pasta/full/grattoni.jpg,gratoni
Grattini,grattini,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/grattini.png,<ImageKitPath>/pasta/full/grattini.jpg,gratini
Margheritine,margheritine,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/margheritine.png,<ImageKitPath>/pasta/full/margheritine.jpg,
Merletti,merletti,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/merletti.png,<ImageKitPath>/pasta/full/merletti.jpg,merleti
Midolline,midolline,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/midolline.png,<ImageKitPath>/pasta/full/midolline.jpg,midoline
Paternoster,paternoster,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/paternoster.png,<ImageKitPath>/pasta/full/paternoster.jpg,
Quadretti,quadretti,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/quadretti.png,<ImageKitPath>/pasta/full/quadretti.jpg,quadreti
Quadrucci,quadrucci,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/quadrucci.png,<ImageKitPath>/pasta/full/quadrucci.jpg,quadruci
Orzo,orzo,orzo pasta; risone; risoni; rice-shaped pasta,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/orzo.png,<ImageKitPath>/pasta/full/orzo.jpg,risone; risoni; orzo pasta; pasta orzo; rice shaped pasta
Puntine,puntine,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/puntine.png,<ImageKitPath>/pasta/full/puntine.jpg,
Occhi Di Passero,occhi-di-passero,,Ring / Wheel,,,,,ring,,ring,yes,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/occhi-di-passero.png,<ImageKitPath>/pasta/full/occhi-di-passero.jpg,occhi pasero; ochi passero; occhi passero; passero occhi
Tempesta,tempesta,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/tempesta.png,<ImageKitPath>/pasta/full/tempesta.jpg,
Stellette,stellette,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/stellette.png,<ImageKitPath>/pasta/full/stellette.jpg,stelete
Tripolini,tripolini,,Short,,,,,short,,short,no,yes,no,yes,small,no,<ImageKitPath>/pasta/thumb/tripolini.png,<ImageKitPath>/pasta/full/tripolini.jpg,
Risi,risi,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/risi.png,<ImageKitPath>/pasta/full/risi.jpg,
Semi Di Melone,semi-di-melone,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/semi-di-melone.png,<ImageKitPath>/pasta/full/semi-di-melone.jpg,melone semi; semi melone
Cavatelli,cavatelli,cavati; cavateddi,Short,,,,,short,,short,yes,yes,no,yes,medium,no,<ImageKitPath>/pasta/thumb/cavatelli.png,<ImageKitPath>/pasta/full/cavatelli.jpg,cavati; cavatedi; cavateli; cavateddi
Assabesi,assabesi,,Filled,,,,,short,,short,no,yes,no,no,medium,no,<ImageKitPath>/pasta/thumb/assabesi.png,<ImageKitPath>/pasta/full/assabesi.jpg,asabesi
Ballerine,ballerine,,Short,,,,,short,,short,no,yes,yes,no,medium,no,<ImageKitPath>/pasta/thumb/ballerine.png,<ImageKitPath>/pasta/full/ballerine.jpg,balerine
Capunti,capunti,cappunti,Short,,,,,short,,short,yes,yes,no,no,medium,no,<ImageKitPath>/pasta/thumb/capunti.png,<ImageKitPath>/pasta/full/capunti.jpg,cappunti
Cencioni,cencioni,,Short,,,,,short,,short,no,yes,no,yes,large,no,<ImageKitPath>/pasta/thumb/cencioni.png,<ImageKitPath>/pasta/full/cencioni.jpg,
Francesine,francesine,,Short,,,,,short,,short,no,yes,no,no,medium,no,<ImageKitPath>/pasta/thumb/francesine.png,<ImageKitPath>/pasta/full/francesine.jpg,
Fisckariedd',fisckariedd,,Sheet,,,,,sheet,,sheet,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/fisckariedd.png,<ImageKitPath>/pasta/full/fisckariedd.jpg,fisckaried
Ciocchetti,ciocchetti,,Short,,,,,short,,short,no,no,yes,no,medium,no,<ImageKitPath>/pasta/thumb/ciocchetti.png,<ImageKitPath>/pasta/full/ciocchetti.jpg,ciocheti
Corzetti,corzetti,croxetti,Short,,,,,short,,short,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/corzetti.png,<ImageKitPath>/pasta/full/corzetti.jpg,corzeti; croxeti; croxetti
Cuzzetielle,cuzzetielle,,Short,,,,,short,,short,yes,no,no,yes,medium,no,<ImageKitPath>/pasta/thumb/cuzzetielle.png,<ImageKitPath>/pasta/full/cuzzetielle.jpg,cuzetiele
Sagnarelli,sagnarelli,,Sheet,,,,,sheet,,sheet,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/sagnarelli.png,<ImageKitPath>/pasta/full/sagnarelli.jpg,sagnareli
Calamarata,calamarata,,Ring / Wheel,,,,,ring,,ring,yes,no,no,yes,medium,no,<ImageKitPath>/pasta/thumb/calamarata.png,<ImageKitPath>/pasta/full/calamarata.jpg,
Cannelloni,cannelloni,,Tube,,,,,tube,,tube,yes,no,no,no,large,no,<ImageKitPath>/pasta/thumb/cannelloni.png,<ImageKitPath>/pasta/full/cannelloni.jpg,caneloni
Troffiette,troffiette,,Short,,,,,short,,short,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/troffiette.png,<ImageKitPath>/pasta/full/troffiette.jpg,trofiete
Canneroni,canneroni,,Tube,,,,,tube,,tube,yes,yes,no,no,large,no,<ImageKitPath>/pasta/thumb/canneroni.png,<ImageKitPath>/pasta/full/canneroni.jpg,caneroni
Cannolocchi,cannolocchi,,Tube,,,,,tube,,tube,yes,yes,no,no,medium,no,<ImageKitPath>/pasta/thumb/cannolocchi.png,<ImageKitPath>/pasta/full/cannolocchi.jpg,canolochi
Cavatappi,cavatappi,cellentani; corkscrew pasta; corkscrews,Short,,,,,short,,short,yes,yes,yes,no,medium,no,<ImageKitPath>/pasta/thumb/cavatappi.png,<ImageKitPath>/pasta/full/cavatappi.jpg,cavatapi; celentani; cellentani; corkscrews; corkscrew pasta; pasta corkscrew
Conchiglie,conchiglie,shell pasta; shells,Short,,,,,short,,short,no,yes,no,yes,medium,no,<ImageKitPath>/pasta/thumb/conchiglie.png,<ImageKitPath>/pasta/full/conchiglie.jpg,shels; shells; shel pasta; pasta shell; shell pasta
Conchigliette,conchigliette,,Short,,,,,short,,short,no,yes,no,yes,small,no,<ImageKitPath>/pasta/thumb/conchigliette.png,<ImageKitPath>/pasta/full/conchigliette.jpg,conchigliete
Cappelli Napoletani,cappelli-napoletani,,Short,,,,,short,,short,yes,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/cappelli-napoletani.png,<ImageKitPath>/pasta/full/cappelli-napoletani.jpg,capeli napoletani; napoletani cappelli
Chifferi Rigati,chifferi-rigati,,Tube,,,,,tube,,tube,yes,yes,no,no,medium,no,<ImageKitPath>/pasta/thumb/chifferi-rigati.png,<ImageKitPath>/pasta/full/chifferi-rigati.jpg,chiferi rigati; rigati chifferi
Cannolocchi Medi,cannolocchi-medi,,Tube,,,,,tube,,tube,yes,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/cannolocchi-medi.png,<ImageKitPath>/pasta/full/cannolocchi-medi.jpg,canolochi medi; medi cannolocchi
Garganelli,garganelli,,Tube,,,,,tube,,tube,yes,yes,no,yes,medium,no,<ImageKitPath>/pasta/thumb/garganelli.png,<ImageKitPath>/pasta/full/garganelli.jpg,garganeli
Funghetti,funghetti,,Short,,,,,short,,short,no,yes,yes,no,medium,no,<ImageKitPath>/pasta/thumb/funghetti.png,<ImageKitPath>/pasta/full/funghetti.jpg,fungheti
Lanterne,lanterne,,Short,,,,,short,,short,no,yes,no,yes,medium,no,<ImageKitPath>/pasta/thumb/lanterne.png,<ImageKitPath>/pasta/full/lanterne.jpg,
Gigli,gigli,,Short,,,,,short,,short,no,yes,no,yes,medium,no,<ImageKitPath>/pasta/thumb/gigli.png,<ImageKitPath>/pasta/full/gigli.jpg,
Margherite,margherite,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,<ImageKitPath>/pasta/thumb/margherite.png,<ImageKitPath>/pasta/full/margherite.jpg,
Rigatoni,rigatoni,,Tube,,,,,tube,,tube,yes,yes,no,no,large,no,<ImageKitPath>/pasta/thumb/rigatoni.png,<ImageKitPath>/pasta/full/rigatoni.jpg,
Nuvole,nuvole,,Sheet,,,,,sheet,,sheet,no,no,no,yes,medium,no,<ImageKitPath>/pasta/thumb/nuvole.png,<ImageKitPath>/pasta/full/nuvole.jpg,
Maltagliati,maltagliati,,Short,,,,,short,,short,no,no,no,no,medium,no,<ImageKitPath>/pasta/thumb/maltagliati.png,<ImageKitPath>/pasta/full/maltagliati.jpg,
Sagne 'Ncannulate,sagne-ncannulate,,Ribbon,,,,,ribbon,,ribbon,no,no,yes,no,medium,no,<ImageKitPath>/pasta/thumb/sagne-ncannulate.png,<ImageKitPath>/pasta/full/sagne-ncannulate.jpg,sagne ncanulate; ncannulate sagne
Fusi Istriani,fusi-istriani,,Short,,,,,short,,short,yes,no,yes,no,medium,no,<ImageKitPath>/pasta/thumb/fusi-istriani.png,<ImageKitPath>/pasta/full/fusi-istriani.jpg,istriani fusi
